borough,bin__,block,lot,community_board,filing_date,issuance_date,permit_type,job_type
BROOKLYN,3421389,00330,00048,306,2017-04-07 ,2017-04-07 ,NB,NB
QUEENS,4615127,02327,00038,402,2017-04-06 ,2017-04-06 ,NB,NB
QUEENS,4595522,01878,00002,404,2017-04-03 ,2017-04-03 ,NB,NB
BRONX,2816970,03179,00060,205,2017-03-31 ,2017-03-31 ,NB,NB
QUEENS,4619928,09998,00110,412,2017-03-31 ,2017-03-31 ,NB,NB
BROOKLYN,3411750,08743,00042,315,2017-03-29 ,2017-03-29 ,NB,NB
BRONX,2129358,03317,00017,207,2017-03-28 ,2017-03-28 ,NB,NB
QUEENS,4213816,09982,00023,412,2017-03-22 ,2017-03-22 ,NB,NB
QUEENS,4117438,05202,00042,407,2017-03-20 ,2017-03-20 ,NB,NB
QUEENS,4117439,05202,00043,407,2017-03-20 ,2017-03-20 ,NB,NB
BROOKLYN,3404966,01871,00030,303,2017-03-15 ,2017-03-15 ,NB,NB
QUEENS,4607406,13912,00204,413,2017-03-07 ,2017-03-07 ,NB,NB
QUEENS,4597387,00755,00105,401,2017-03-07 ,2017-03-07 ,NB,NB
MANHATTAN,1090332,00759,00055,104,2017-03-02 ,2017-03-02 ,NB,NB
MANHATTAN,1001244,00089,00003,101,2017-02-24 ,2017-02-24 ,NB,NB
BROOKLYN,3076576,03349,00045,304,2017-02-21 ,2017-02-21 ,NB,NB
BROOKLYN,3396269,01146,00046,308,2017-02-10 ,2017-02-10 ,NB,NB
BROOKLYN,3006577,00409,00048,306,2017-01-31 ,2017-01-31 ,NB,NB
QUEENS,4595504,10214,00040,412,2017-01-31 ,2017-01-31 ,NB,NB
BROOKLYN,3418414,01240,00069,308,2017-01-30 ,2017-01-30 ,NB,NB
BROOKLYN,3425570,00295,00111,306,2017-01-27 ,2017-01-27 ,NB,NB
BRONX,2128434,05715,00187,208,2017-01-27 ,2017-11-08 ,NB,NB
BROOKLYN,3425980,05957,00001,310,2017-01-24 ,2017-01-24 ,NB,NB
BROOKLYN,3398273,04452,00343,305,2017-01-23 ,2017-01-23 ,NB,NB
BROOKLYN,3398247,04452,00301,305,2017-01-23 ,2017-01-23 ,NB,NB
QUEENS,4618621,04551,00008,407,2017-01-06 ,2017-01-06 ,NB,NB
QUEENS,4607930,04683,00047,407,2017-01-03 ,2017-02-28 ,NB,NB
BRONX,2127337,02724,00103,202,2016-12-21 ,2016-12-21 ,NB,NB
QUEENS,4607527,08904,00029,409,2016-12-16 ,2016-12-16 ,NB,NB
MANHATTAN,1089434,01485,00015,108,2016-12-16 ,2016-12-16 ,NB,NB
BROOKLYN,3425167,01601,00015,303,2016-12-12 ,2016-12-12 ,NB,NB
QUEENS,4615095,16195,00021,414,2016-12-05 ,2016-12-05 ,NB,NB
STATEN ISLAND,5105764,03801,00007,502,2016-11-28 ,2016-11-28 ,NB,NB
QUEENS,4607283,00600,00012,401,2016-11-09 ,2016-11-09 ,NB,NB
BRONX,2127138,05599,00041,210,2016-11-04 ,2016-11-04 ,NB,NB
QUEENS,4004941,00408,00025,401,2016-11-03 ,2016-11-03 ,NB,NB
QUEENS,4618575,04949,00031,407,2016-11-03 ,2016-11-14 ,NB,NB
QUEENS,4607550,15579,00041,414,2016-11-03 ,2016-11-03 ,NB,NB
BROOKLYN,3418241,00556,00118,306,2016-10-25 ,2017-04-24 ,NB,NB
BROOKLYN,3425720,01046,00037,307,2016-10-21 ,2016-11-03 ,NB,NB
QUEENS,4829018,03069,00063,405,2016-10-12 ,2016-10-12 ,NB,NB
QUEENS,4136781,06188,00004,411,2016-09-29 ,2016-09-29 ,NB,NB
MANHATTAN,1088841,00806,00034,105,2016-09-29 ,2016-09-29 ,NB,NB
BROOKLYN,3414051,04884,00050,317,2016-09-16 ,2016-09-16 ,NB,NB
BRONX,2129373,03089,00051,206,2016-09-15 ,2016-09-15 ,NB,NB
BROOKLYN,3426429,04884,00061,317,2016-09-14 ,2016-09-14 ,NB,NB
BRONX,2129372,03075,00052,206,2016-09-13 ,2016-09-13 ,NB,NB
STATEN ISLAND,5166724,07884,00005,503,2016-09-09 ,2016-09-09 ,NB,NB
BROOKLYN,3421511,04452,00413,305,2016-09-08 ,2016-09-08 ,NB,NB
QUEENS,4864183,05140,00040,407,2016-09-08 ,2016-09-08 ,NB,NB
BROOKLYN,3418441,05500,00025,312,2016-09-02 ,2016-09-02 ,NB,NB
BROOKLYN,3393247,01222,00067,308,2016-09-02 ,2016-09-29 ,NB,NB
BROOKLYN,3425311,02295,00021,301,2016-09-01 ,2016-09-01 ,NB,NB
BROOKLYN,3394438,01973,00002,303,2016-08-29 ,,NB,NB
STATEN ISLAND,5168748,01196,00047,501,2016-08-18 ,2016-08-18 ,NB,NB
QUEENS,4596254,12335,00061,412,2016-08-10 ,2016-08-10 ,NB,NB
BROOKLYN,3398251,01817,00052,303,2016-08-10 ,2016-08-10 ,NB,NB
QUEENS,4616948,15609,00006,414,2016-08-03 ,2016-08-03 ,NB,NB
BROOKLYN,3191743,07105,00160,315,2016-07-21 ,2016-07-21 ,NB,NB
STATEN ISLAND,5159158,04444,00035,503,2016-07-20 ,2016-07-22 ,NB,NB
QUEENS,4540038,01725,00001,403,2016-07-15 ,2016-07-15 ,NB,NB
STATEN ISLAND,5165191,05204,00014,503,2016-07-13 ,2016-07-25 ,NB,NB
BROOKLYN,3418133,03451,00009,304,2016-07-06 ,2017-03-10 ,NB,NB
QUEENS,4106353,04685,00003,407,2016-06-30 ,2016-06-30 ,NB,NB
QUEENS,4105800,04666,00029,407,2016-06-30 ,2016-06-30 ,NB,NB
QUEENS,4146072,06727,00034,407,2016-06-30 ,2016-06-30 ,NB,NB
BRONX,2127259,03048,00039,206,2016-06-30 ,2016-06-30 ,NB,NB
BROOKLYN,3426887,01832,00009,303,2016-06-30 ,2016-06-30 ,NB,NB
BRONX,2127372,03436,00133,209,2016-06-28 ,2016-06-28 ,NB,NB
QUEENS,4596290,15905,00051,,2016-06-24 ,2016-06-24 ,NB,NB
STATEN ISLAND,5863505,07094,00058,503,2016-06-21 ,2016-06-21 ,NB,NB
BROOKLYN,3425003,03354,00008,304,2016-06-08 ,2016-06-08 ,NB,NB
QUEENS,4622983,00054,00145,402,2016-06-01 ,2016-06-01 ,NB,NB
BROOKLYN,3418370,03205,00030,304,2016-05-18 ,2016-05-18 ,NB,NB
QUEENS,4073661,03123,00027,406,2016-05-18 ,2016-05-18 ,NB,NB
QUEENS,4619891,15711,00041,414,2016-05-18 ,2016-05-18 ,NB,NB
MANHATTAN,1090734,01615,00055,111,2016-05-17 ,2016-05-17 ,NB,NB
QUEENS,4594816,01999,00067,404,2016-05-13 ,2016-05-16 ,NB,NB
MANHATTAN,1090882,00440,00029,103,2016-05-12 ,2016-05-13 ,NB,NB
MANHATTAN,1089737,02118,00052,112,2016-05-11 ,2016-05-11 ,NB,NB
BRONX,2042481,04008,00001,206,2016-04-22 ,2016-04-22 ,NB,NB
BRONX,2002238,02433,00067,204,2016-04-20 ,2016-04-20 ,NB,NB
QUEENS,4177855,08706,00043,413,2016-04-14 ,2016-05-13 ,NB,NB
BROOKLYN,3426783,00430,00042,306,2016-04-04 ,2016-04-04 ,NB,NB
BRONX,2128909,03028,00048,206,2016-03-25 ,2016-03-25 ,NB,NB
MANHATTAN,1082759,00072,00007,101,2016-03-24 ,2016-04-06 ,NB,NB
BROOKLYN,3413921,08781,00030,315,2016-03-24 ,2016-03-29 ,NB,NB
STATEN ISLAND,5166331,06670,00109,503,2016-03-22 ,2016-03-22 ,NB,NB
QUEENS,4050465,02091,00020,406,2016-03-20 ,2016-03-20 ,NB,NB
